TRIP_ID,VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PU_LOCATION_ID,DO_LOCATION_ID,RATE_CODE_ID,STORE_AND_FWD_FLAG,PAYMENT_TYPE,FARE_AMOUNT,SURCHARGE,TOLLS_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
2007108,4,2019-04-27 16:34:00,2019-04-27 17:13:00,1,3.56,87,125,1,Y,1,30.9,1.0,11.75,4.63,48.28
2005892,2,2019-04-08 01:48:00,2019-04-08 02:03:00,1,9.2,48,152,1,N,1,-33.0,2.5,0,7.26,42.76
2007109,1,2019-04-27 19:11:00,2019-04-27 19:54:00,1,14.12,45,166,1,N,1,59.3,0.3,0,10.67,70.27
2007270,1,2019-04-29 17:24:00,2019-04-29 18:02:00,2,1.22,236,79,3,Y,2,36.83,0.5,15.0,0.0,61.54
2007291,1,2019-04-30 12:09:00,2019-04-30 12:20:00,1,9.81,166,41,1,N,1,32.53,1.0,5.76,0.0,39.29
2005605,1,2019-04-04 18:51:00,2019-04-04 19:24:00,1,654.3,79,164,4,Y,2,47.22,0.3,15.0,0.0,72.91
2006333,2,2019-04-15 23:49:00,2019-04-16 00:34:00,1,13.7,158,164,1,Y,1,59.25,0.3,0,8.89,68.44
2005420,2,2019-04-01 21:18:00,2019-04-01 21:36:00,5,3.1,87,231,1,Y,2,0.0,0.3,0,0.0,0.0
2007209,2,2019-04-28 21:30:00,2019-04-28 21:37:00,1,13.22,74,125,1,N,2,39.05,1.0,11.75,0.0,60.39
2006755,2,2019-04-21 01:02:00,2019-04-21 01:26:00,1,900.5,143,141,1,Y,1,46.77,1.0,0,11.69,59.46
2006480,1,2019-04-17 00:13:00,2019-04-17 00:18:00,1,10.63,88,100,1,Y,1,31.58,2.5,11.75,6.32,52.15
2007244,1,2019-04-29 17:26:00,2019-04-29 17:45:00,1,11.03,48,163,1,Y,1,39.58,0.5,0,7.12,47.2
2007343,2,2019-04-30 11:19:00,2019-04-30 11:51:00,2,5.0,249,148,1,N,1,31.0,1.0,0,0.0,32.0
2006502,2,2019-04-17 04:05:00,2019-04-17 04:20:00,1,8.49,12,90,1,Y,1,31.23,2.5,0,0.0,33.73
2006770,2,2019-04-22 06:36:00,2019-04-22 07:11:00,1,2.37,264,162,1,Y,2,25.93,1.0,0,0.0,26.93
2006014,2,2019-04-10 08:44:00,2019-04-10 09:08:00,1,6.48,142,246,2,N,1,52.0,0.3,0,11.44,63.74
2007324,3,2019-04-30 10:50:00,2019-04-30 11:33:00,0,3.18,234,88,1,N,1,31.95,1.0,0,6.39,39.34
2006258,1,2019-04-14 15:32:00,2019-04-14 15:47:00,1,8.99,79,127,5,N,2,32.48,1.0,11.75,0.0,51.08
