TRIP_ID,VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PU_LOCATION_ID,DO_LOCATION_ID,RATE_CODE_ID,STORE_AND_FWD_FLAG,PAYMENT_TYPE,FARE_AMOUNT,SURCHARGE,TOLLS_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
2000001,3,2019-01-01 12:38:00,2019-01-01 12:52:00,1,2.43,239,234,1,N,1,15.57,2.5,0,3.11,21.18
2000002,2,2019-01-01 19:55:00,2019-01-01 20:11:00,1,10.08,107,237,1,Y,1,35.7,2.5,15.0,0.0,53.2
2000003,1,2019-01-01 15:27:00,2019-01-01 15:43:00,1,14.03,163,161,1,N,1,45.57,0.5,0,6.84,52.91
2000004,4,2019-01-01 16:11:00,2019-01-01 16:46:00,2,1.04,158,128,1,Y,1,22.6,0.3,0,4.97,27.87
2000005,3,2019-01-01 11:33:00,2019-01-01 12:01:00,1,11.91,87,164,1,Y,2,46.27,1.0,15.0,0.0,62.27
2000006,1,2019-01-01 07:55:00,2019-01-01 08:36:00,2,2.68,41,68,1,Y,2,29.7,0.5,0,0.0,35.55
2000007,4,2019-01-01 19:54:00,2019-01-01 20:13:00,1,12.42,41,4,1,Y,1,43.05,0.5,0,6.46,50.01
2000008,3,2019-01-01 12:52:00,2019-01-01 13:18:00,1,3.13,141,127,1,Y,2,23.32,0.5,0,0.0,27.32
2000009,2,2019-01-01 20:46:00,2019-01-01 21:09:00,1,12.23,90,151,1,Y,3,44.58,2.5,0,8.02,55.1
2000010,2,2019-01-01 15:58:00,2019-01-01 16:21:00,2,8.23,79,113,1,Y,1,34.58,0.5,8.5,8.64,52.22
2000011,2,2019-01-01 12:56:00,2019-01-01 13:11:00,1,10.17,79,166,1,N,2,35.42,2.5,8.5,0.0,51.73
2000012,3,2019-01-01 20:22:00,2019-01-01 21:07:00,1,2.13,4,234,5,Y,2,30.32,2.5,0,0.0,38.88
2000013,3,2019-01-01 14:33:00,2019-01-01 15:16:00,1,9.66,231,243,1,Y,1,48.15,1.0,0,12.04,61.19
2000014,1,2019-01-01 13:23:00,2019-01-01 14:01:00,1,10.81,79,244,1,Y,1,48.53,0.5,0,12.13,61.16
2000015,1,2019-01-01 20:57:00,2019-01-01 21:28:00,3,10.57,166,48,1,Y,1,44.42,2.5,0,6.66,53.58
2000016,1,2019-01-01 19:59:00,2019-01-01 20:32:00,1,9.57,166,41,1,Y,1,42.92,0.3,0,8.58,51.8
2000017,2,2019-01-01 11:46:00,2019-01-01 11:49:00,1,8.23,186,100,1,Y,1,24.58,2.5,6.12,0.0,33.2
2000018,2,2019-01-01 15:18:00,2019-01-01 15:31:00,3,1.33,74,41,1,N,1,12.32,1.0,0,1.85,15.17
2000019,1,2019-01-01 17:41:00,2019-01-01 18:18:00,1,10.33,237,164,1,N,1,46.83,2.5,15.0,9.37,73.7
2000020,1,2019-01-01 11:03:00,2019-01-01 11:27:00,2,6.82,243,161,1,Y,1,31.55,0.3,5.76,6.94,44.55
2000021,2,2019-01-01 16:46:00,2019-01-01 17:27:00,3,1.66,246,45,1,Y,1,27.15,1.0,0,4.07,32.22
