TRIP_ID,VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PU_LOCATION_ID,DO_LOCATION_ID,RATE_CODE_ID,STORE_AND_FWD_FLAG,PAYMENT_TYPE,FARE_AMOUNT,SURCHARGE,TOLLS_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
2001861,2,2019-02-01 11:07:00,2019-02-01 11:23:00,2,6.73,161,161,1,Y,1,27.33,2.5,0,0.0,29.83
2001862,1,2019-02-01 07:19:00,2019-02-01 07:22:00,3,9.29,12,144,1,N,1,27.22,0.5,8.5,5.99,42.21
2001863,1,2019-02-01 11:01:00,2019-02-01 11:14:00,2,6.95,263,231,1,N,4,26.38,2.5,0,5.28,34.16
2001864,1,2019-02-01 14:26:00,2019-02-01 14:29:00,1,14.21,243,143,1,Y,1,39.53,0.5,0,9.88,49.91
2001865,3,2019-02-01 15:37:00,2019-02-01 16:22:00,1,7.13,41,114,1,Y,1,42.83,2.5,0,0.0,45.33
2001866,3,2019-02-01 13:43:00,2019-02-01 14:15:00,1,3.64,87,230,1,Y,3,27.6,0.3,8.5,5.52,41.92
2001867,2,2019-02-01 19:15:00,2019-02-01 19:41:00,2,12.08,143,7,1,Y,1,45.7,2.5,6.12,9.14,63.46
2001868,2,2019-02-01 12:59:00,2019-02-01 13:31:00,1,3.93,244,88,1,N,2,28.33,0.3,0,0.0,28.63
2001869,4,2019-02-01 23:09:00,2019-02-01 23:29:00,1,6.5,246,24,1,Y,3,28.75,1.0,0,6.33,36.08
2001870,4,2019-02-01 20:05:00,2019-02-01 20:32:00,1,5.1,75,127,5,Y,1,28.75,1.0,0,4.31,34.06
2001871,2,2019-02-01 07:15:00,2019-02-01 07:41:00,1,2.93,170,13,1,Y,1,22.82,0.3,6.12,5.71,34.95
2001872,2,2019-02-01 14:23:00,2019-02-01 14:48:00,4,5.44,261,114,1,Y,2,28.6,2.5,15.0,0.0,53.25
2001873,2,2019-02-01 17:11:00,2019-02-01 17:42:00,4,7.86,236,79,1,N,1,37.65,2.5,0,0.0,40.15
2001874,2,2019-02-01 09:07:00,2019-02-01 09:36:00,1,7.48,74,243,1,Y,1,35.7,0.5,0,0.0,36.2
2001875,1,2019-02-01 22:53:00,2019-02-01 23:24:00,2,13.96,229,249,1,N,1,52.9,0.5,0,11.64,65.04
2001876,1,2019-02-01 20:26:00,2019-02-01 20:50:00,3,12.75,4,236,1,Y,1,46.38,0.5,0,8.35,55.23
2001877,1,2019-02-01 01:26:00,2019-02-01 01:30:00,2,2.71,163,239,1,Y,4,11.28,0.3,0,2.03,13.61
2001878,1,2019-02-01 22:28:00,2019-02-01 22:49:00,1,12.75,229,75,1,Y,1,44.88,2.5,6.12,9.87,63.37
2001879,2,2019-02-01 06:43:00,2019-02-01 06:56:00,2,6.45,161,234,1,Y,2,25.12,2.5,0,0.0,32.14
2001880,1,2019-02-01 20:43:00,2019-02-01 21:18:00,3,2.1,140,125,1,Y,1,25.25,2.5,8.5,5.05,41.3
2001881,1,2019-02-01 19:49:00,2019-02-01 19:53:00,1,1.11,243,127,2,Y,1,52.0,0.5,0,10.4,62.9
2001882,2,2019-02-01 13:23:00,2019-02-01 13:53:00,2,13.86,151,41,1,Y,2,52.15,1.0,0,0.0,53.15
2001883,2,2019-02-01 16:29:00,2019-02-01 16:46:00,3,14.85,75,100,1,Y,2,48.12,2.5,0,0.0,60.24
2001884,2,2019-02-01 17:25:00,2019-02-01 18:04:00,2,3.19,236,209,1,Y,1,29.98,0.5,0,7.5,37.98
2001885,2,2019-02-01 09:26:00,2019-02-01 09:29:00,3,9.2,243,230,1,Y,2,27.0,2.5,11.75,0.0,41.25
2001886,2,2019-02-01 09:24:00,2019-02-01 09:34:00,1,6.03,236,243,1,Y,2,22.58,1.0,0,0.0,23.58
2001887,2,2019-02-01 19:47:00,2019-02-01 20:18:00,1,2.8,158,143,1,Y,1,25.0,1.0,0,5.5,31.5
2001888,4,2019-02-01 13:21:00,2019-02-01 13:28:00,3,0.79,42,141,1,Y,1,7.97,2.5,0,0.0,10.47
2001889,3,2019-02-01 17:19:00,2019-02-01 18:02:00,1,8.39,24,87,1,Y,1,44.98,0.5,0,8.1,53.58
2001890,3,2019-02-01 10:00:00,2019-02-01 10:25:00,1,2.66,261,263,1,Y,1,21.65,2.5,0,0.0,24.15
2001891,2,2019-02-01 08:22:00,2019-02-01 08:43:00,1,10.38,90,161,1,Y,1,38.95,1.0,0,8.57,48.52
2001892,2,2019-02-01 09:13:00,2019-02-01 09:27:00,3,6.04,237,41,1,Y,1,24.6,1.0,6.12,5.41,37.13
2001893,1,2019-02-01 10:22:00,2019-02-01 10:30:00,1,11.18,127,162,2,Y,1,52.0,0.5,0,13.0,65.5
2001894,1,2019-02-01 23:53:00,2019-02-02 00:03:00,1,7.84,43,234,1,Y,2,27.1,1.0,0,0.0,34.88
2001895,2,2019-02-01 06:38:00,2019-02-01 07:16:00,1,12.24,12,4,1,Y,2,52.1,0.3,15.0,0.0,77.82
2001896,2,2019-02-01 20:32:00,2019-02-01 21:13:00,1,1.02,152,237,1,Y,1,25.55,0.5,5.76,5.11,36.92
2001897,4,2019-02-01 17:41:00,2019-02-01 17:44:00,1,2.56,142,264,1,N,2,10.4,0.5,11.75,0.0,24.52
2001898,3,2019-02-01 08:51:00,2019-02-01 09:07:00,1,8.18,246,249,1,Y,1,30.95,2.5,0,6.19,39.64
2001899,2,2019-02-01 04:42:00,2019-02-01 05:16:00,1,0.8,243,230,1,N,2,21.5,1.0,0,0.0,26.37
2001900,1,2019-02-01 14:28:00,2019-02-01 14:33:00,2,12.38,45,45,1,Y,1,35.95,1.0,0,7.91,44.86
2001901,4,2019-02-01 08:12:00,2019-02-01 08:37:00,1,11.47,114,163,1,Y,1,43.67,0.3,15.0,0.0,58.97
2001902,1,2019-02-01 21:51:00,2019-02-01 22:15:00,1,3.54,229,1,1,Y,1,23.35,0.3,0,0.0,23.65
2001903,2,2019-02-01 05:07:00,2019-02-01 05:25:00,2,13.05,128,163,1,N,2,44.12,0.5,0,0.0,52.56
2001904,2,2019-02-01 21:22:00,2019-02-01 21:45:00,1,6.56,138,127,2,Y,1,52.0,0.5,0,10.4,62.9
2001905,1,2019-02-01 19:05:00,2019-02-01 19:35:00,3,13.77,107,140,2,Y,4,52.0,1.0,0,0.0,53.0
2001906,1,2019-02-01 08:51:00,2019-02-01 09:10:00,2,8.13,170,152,1,Y,2,32.33,0.5,0,0.0,39.94
2001907,2,2019-02-01 03:23:00,2019-02-01 04:08:00,1,3.32,263,12,1,N,2,33.3,1.0,0,0.0,41.63
2001908,2,2019-02-01 21:01:00,2019-02-01 21:23:00,2,4.96,239,141,1,Y,2,25.9,0.3,5.76,0.0,37.66
2001909,3,2019-02-01 17:26:00,2019-02-01 18:10:00,1,9.35,13,209,1,Y,1,47.88,2.5,5.76,7.18,63.32
2001910,1,2019-02-01 13:15:00,2019-02-01 13:24:00,1,7.85,261,24,1,Y,1,26.62,2.5,11.75,5.86,46.73
2001911,4,2019-02-01 14:15:00,2019-02-01 14:30:00,1,5.93,90,243,1,Y,1,24.82,0.3,0,4.47,29.59
2001912,1,2019-02-01 16:28:00,2019-02-01 16:49:00,1,2.76,163,186,2,Y,1,52.0,0.3,8.5,9.36,70.16
2001913,1,2019-02-01 15:53:00,2019-02-01 16:23:00,6,0.85,163,24,1,Y,1,19.62,1.0,0,0.0,20.62
2001914,2,2019-02-01 16:59:00,2019-02-01 17:17:00,2,11.91,68,152,1,Y,4,41.27,1.0,0,8.25,50.52
2001915,2,2019-02-01 19:03:00,2019-02-01 19:32:00,1,13.96,161,224,1,Y,1,51.9,0.5,8.5,9.34,70.24
2001916,2,2019-02-01 17:12:00,2019-02-01 17:16:00,2,10.84,162,224,1,Y,1,31.6,2.5,11.75,0.0,45.85
2001917,2,2019-02-01 08:39:00,2019-02-01 09:06:00,2,7.11,48,74,1,Y,4,33.78,0.3,0,5.07,39.15
2001918,1,2019-02-01 18:38:00,2019-02-01 19:05:00,3,3.94,100,12,1,N,1,25.85,0.3,0,6.46,32.61
2001919,2,2019-02-01 17:21:00,2019-02-01 17:57:00,1,13.96,128,234,1,Y,1,55.4,0.5,0,12.19,68.09
2001920,2,2019-02-01 04:39:00,2019-02-01 05:22:00,1,0.52,42,100,1,Y,1,25.3,0.3,0,0.0,25.6
2001921,2,2019-02-02 18:00:00,2019-02-02 18:28:00,5,2.02,186,41,1,Y,1,21.55,2.5,8.5,3.23,35.78
2001922,1,2019-02-02 20:48:00,2019-02-02 21:15:00,1,12.87,143,148,1,N,1,48.17,0.5,0,0.0,48.67
2001923,2,2019-02-02 22:39:00,2019-02-02 23:09:00,1,10.08,230,88,1,Y,2,42.7,0.3,15.0,0.0,68.68
2001924,2,2019-02-02 10:06:00,2019-02-02 10:37:00,1,9.64,74,4,1,Y,2,42.1,0.5,6.12,0.0,48.72
2001925,1,2019-02-02 17:18:00,2019-02-02 17:32:00,1,9.21,143,144,1,Y,2,32.53,0.3,0,0.0,40.96
2001926,1,2019-02-02 01:52:00,2019-02-02 02:18:00,1,14.43,74,12,1,Y,1,51.58,0.5,5.76,12.89,70.73
2001927,4,2019-02-02 18:13:00,2019-02-02 18:44:00,1,13.86,127,209,1,Y,1,52.65,2.5,0,13.16,68.31
2001928,2,2019-02-02 12:05:00,2019-02-02 12:29:00,6,13.8,170,87,1,Y,3,49.0,1.0,0,10.78,60.78
2001929,1,2019-02-02 17:23:00,2019-02-02 17:45:00,1,2.4,132,24,1,N,1,19.5,0.3,15.0,4.88,39.68
2001930,4,2019-02-02 18:02:00,2019-02-02 18:30:00,1,9.45,140,88,1,Y,1,40.12,0.3,0,6.02,46.44
2001931,2,2019-02-02 17:05:00,2019-02-02 17:44:00,1,1.97,43,243,1,Y,2,26.93,0.3,6.12,0.0,39.27
2001932,1,2019-02-02 17:57:00,2019-02-02 18:02:00,2,1.49,42,264,1,Y,1,8.72,1.0,5.76,0.0,15.48
2001933,2,2019-02-02 02:51:00,2019-02-02 03:27:00,2,2.27,12,41,1,N,1,26.18,0.3,0,3.93,30.41
2001934,1,2019-02-02 10:09:00,2019-02-02 10:48:00,1,9.5,229,244,1,Y,1,45.75,0.5,6.12,0.0,52.37
2001935,1,2019-02-02 05:28:00,2019-02-02 05:48:00,1,13.56,4,264,1,Y,4,46.4,0.5,5.76,0.0,52.66
2001936,2,2019-02-02 14:50:00,2019-02-02 15:02:00,1,3.2,41,161,1,N,1,16.5,1.0,5.76,3.3,26.56
2001937,2,2019-02-02 10:23:00,2019-02-02 10:48:00,2,13.95,90,237,1,Y,1,49.88,0.3,8.5,9.98,68.66
2001938,1,2019-02-02 17:22:00,2019-02-02 17:55:00,1,3.95,12,231,1,Y,1,28.88,0.5,0,5.78,35.16
2001939,4,2019-02-02 14:24:00,2019-02-02 14:31:00,1,2.5,158,140,1,Y,2,12.25,2.5,0,0.0,16.59
2001940,1,2019-02-02 19:01:00,2019-02-02 19:25:00,3,6.57,113,41,4,Y,1,30.93,2.5,5.76,7.73,46.92
2001941,2,2019-02-02 17:37:00,2019-02-02 17:55:00,1,10.83,239,127,1,Y,2,38.58,2.5,0,0.0,46.87
2001942,2,2019-02-02 15:22:00,2019-02-02 15:54:00,1,6.91,113,127,1,Y,2,35.77,0.5,6.12,0.0,51.33
2001943,3,2019-02-02 15:48:00,2019-02-02 16:13:00,1,2.76,75,107,1,Y,1,21.9,0.3,0,4.82,27.02
2001944,2,2019-02-02 06:27:00,2019-02-02 06:53:00,2,3.13,48,68,1,Y,1,23.32,0.5,0,3.5,27.32
2001945,2,2019-02-02 20:13:00,2019-02-02 20:55:00,1,7.22,43,68,1,Y,1,41.55,1.0,0,8.31,50.86
2001946,1,2019-02-02 14:01:00,2019-02-02 14:25:00,1,14.16,209,36,1,Y,1,49.9,0.5,8.5,0.0,58.9
2001947,3,2019-02-02 09:02:00,2019-02-02 09:05:00,2,1.07,234,229,2,Y,2,52.0,0.3,0,0.0,61.66
2001948,4,2019-02-02 14:51:00,2019-02-02 15:10:00,1,14.47,163,42,1,N,1,48.18,0.5,0,9.64,58.32
2001949,1,2019-02-02 16:15:00,2019-02-02 16:40:00,1,3.16,74,230,1,N,1,22.9,0.3,15.0,3.43,41.63
2001950,1,2019-02-02 08:12:00,2019-02-02 08:53:00,1,11.3,162,249,1,Y,2,51.25,2.5,15.0,0.0,81.56
2001951,2,2019-02-02 18:02:00,2019-02-02 18:16:00,1,7.26,48,151,1,Y,1,27.65,0.3,11.75,4.98,44.68
2001952,2,2019-02-02 16:48:00,2019-02-02 16:55:00,1,1.68,261,163,1,N,2,10.2,2.5,0,0.0,12.7
2001953,1,2019-02-02 09:36:00,2019-02-02 09:44:00,1,11.52,90,74,1,Y,2,35.3,0.5,0,0.0,44.62
2001954,2,2019-02-02 21:22:00,2019-02-02 21:44:00,1,13.33,75,125,1,N,2,46.83,2.5,15.0,0.0,71.35
2001955,2,2019-02-02 15:23:00,2019-02-02 15:53:00,1,3.89,48,237,1,Y,1,27.23,2.5,15.0,4.9,49.63
2001956,1,2019-02-02 10:15:00,2019-02-02 10:23:00,1,7.27,68,246,1,N,4,24.67,0.3,0,0.0,24.97
2001957,3,2019-02-02 07:43:00,2019-02-02 08:28:00,1,6.42,243,243,1,Y,2,41.05,1.0,6.12,0.0,56.38
2001958,2,2019-02-02 08:46:00,2019-02-02 08:53:00,1,4.52,151,4,6,N,2,17.3,2.5,0,0.0,23.61
2001959,2,2019-02-02 17:46:00,2019-02-02 18:29:00,3,1.26,42,239,1,Y,1,27.15,0.5,0,4.89,32.54
2001960,1,2019-02-02 06:26:00,2019-02-02 06:47:00,1,8.74,164,161,1,Y,1,34.85,1.0,0,8.71,44.56
2001961,2,2019-02-02 10:27:00,2019-02-02 10:52:00,4,4.53,13,113,1,N,1,26.33,1.0,6.12,3.95,37.4
2001962,4,2019-02-02 17:51:00,2019-02-02 17:57:00,1,12.83,237,79,1,N,2,37.58,2.5,8.5,0.0,54.22
2001963,2,2019-02-02 18:23:00,2019-02-02 18:49:00,2,13.54,42,125,1,N,3,49.35,2.5,5.76,12.34,69.95
2001964,4,2019-02-02 09:13:00,2019-02-02 09:23:00,1,8.9,125,234,6,Y,1,29.75,2.5,0,0.0,32.25
2001965,1,2019-02-02 23:25:00,2019-02-03 00:03:00,1,13.78,234,148,1,N,2,55.95,2.5,15.0,0.0,87.44
2001966,1,2019-02-02 10:23:00,2019-02-02 10:52:00,1,14.1,88,234,1,Y,2,52.25,0.5,8.5,0.0,71.7
2001967,1,2019-02-02 00:34:00,2019-02-02 01:16:00,6,6.17,132,13,1,N,1,38.92,0.5,0,7.78,47.2
2001968,1,2019-02-02 06:28:00,2019-02-02 07:01:00,1,3.55,170,236,1,N,1,27.88,2.5,5.76,0.0,36.14
2001969,1,2019-02-02 23:48:00,2019-02-03 00:23:00,1,3.42,230,163,1,N,1,28.55,0.3,15.0,0.0,43.85
2001970,1,2019-02-02 18:27:00,2019-02-02 18:49:00,1,7.69,88,43,1,Y,1,32.73,0.5,5.76,5.89,44.88
2001971,1,2019-02-02 00:37:00,2019-02-02 01:07:00,1,3.56,239,158,1,N,2,26.4,0.3,0,0.0,31.98
2001972,3,2019-02-02 20:49:00,2019-02-02 21:03:00,2,6.08,170,68,1,Y,2,24.7,2.5,6.12,0.0,38.26
2001973,3,2019-02-02 20:02:00,2019-02-02 20:23:00,2,14.63,68,263,1,N,1,49.58,0.5,6.12,9.92,66.12
2001974,1,2019-02-02 08:46:00,2019-02-02 09:16:00,3,8.33,234,261,1,N,1,38.33,0.3,0,8.43,47.06
2001975,1,2019-02-02 06:18:00,2019-02-02 06:29:00,1,6.84,264,243,1,Y,1,25.1,2.5,8.5,5.52,41.62
2001976,1,2019-02-02 22:03:00,2019-02-02 22:14:00,2,4.81,249,127,5,N,1,20.02,0.5,0,3.0,23.52
2001977,4,2019-02-02 08:45:00,2019-02-02 08:50:00,1,11.13,138,243,1,Y,1,32.83,2.5,8.5,8.21,52.04
2001978,2,2019-02-02 19:34:00,2019-02-02 19:42:00,1,2.21,7,261,1,Y,2,12.03,1.0,0,0.0,14.83
