TRIP_ID,VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PU_LOCATION_ID,DO_LOCATION_ID,RATE_CODE_ID,STORE_AND_FWD_FLAG,PAYMENT_TYPE,FARE_AMOUNT,SURCHARGE,TOLLS_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
2003541,1,2019-03-01 20:11:00,2019-03-01 20:18:00,2,8.53,236,42,1,Y,1,27.32,0.3,8.5,4.1,40.22
2003542,2,2019-03-01 11:11:00,2019-03-01 11:54:00,4,13.74,229,170,1,Y,1,58.35,0.3,0,14.59,73.24
2003543,1,2019-03-01 20:20:00,2019-03-01 20:37:00,3,12.38,79,42,1,Y,1,41.95,2.5,6.12,6.29,56.86
2003544,3,2019-03-01 09:31:00,2019-03-01 10:01:00,1,6.69,231,143,1,N,1,34.23,1.0,11.75,0.0,46.98
2003545,1,2019-03-01 13:56:00,2019-03-01 14:38:00,2,8.14,43,230,1,Y,1,43.85,2.5,11.75,9.65,67.75
2003546,3,2019-03-01 09:37:00,2019-03-01 10:05:00,1,8.71,243,79,2,N,1,52.0,1.0,11.75,10.4,75.15
2003547,1,2019-03-01 11:15:00,2019-03-01 11:50:00,2,12.34,143,234,1,Y,1,50.85,1.0,15.0,12.71,79.56
2003548,2,2019-03-01 12:02:00,2019-03-01 12:35:00,1,1.2,48,7,1,Y,2,22.0,0.3,6.12,0.0,32.82
2003549,2,2019-03-01 08:31:00,2019-03-01 08:52:00,2,11.64,209,107,1,N,1,42.1,1.0,0,10.53,53.63
2003550,2,2019-03-01 08:50:00,2019-03-01 09:18:00,1,12.78,237,24,1,Y,1,48.45,1.0,6.12,0.0,55.57
2003551,1,2019-03-01 20:11:00,2019-03-01 20:47:00,1,6.79,128,143,1,Y,2,37.48,1.0,15.0,0.0,60.98
2003552,1,2019-03-01 19:47:00,2019-03-01 20:19:00,1,13.46,132,74,3,N,1,78.22,2.5,8.5,14.08,103.3
2003553,4,2019-03-01 20:19:00,2019-03-01 21:02:00,2,10.4,75,144,1,Y,2,50.0,1.0,8.5,0.0,59.5
2003554,2,2019-03-01 19:54:00,2019-03-01 20:33:00,1,7.2,263,163,1,N,1,40.0,2.5,8.5,8.8,59.8
2003555,1,2019-03-01 14:32:00,2019-03-01 14:35:00,2,4.32,7,164,1,N,2,14.8,0.3,0,0.0,18.06
2003556,1,2019-03-01 19:00:00,2019-03-01 19:38:00,2,11.13,88,151,1,Y,1,49.33,0.3,0,8.88,58.51
2003557,1,2019-03-01 19:43:00,2019-03-01 20:23:00,3,10.28,50,4,1,N,3,48.2,2.5,0,10.6,61.3
2003558,2,2019-03-01 15:30:00,2019-03-01 16:02:00,4,9.08,148,162,1,Y,2,41.2,2.5,0,0.0,43.7
2003559,1,2019-03-01 14:06:00,2019-03-01 14:25:00,1,11.23,74,224,1,Y,1,40.08,0.3,0,0.0,40.38
2003560,2,2019-03-01 18:46:00,2019-03-01 18:57:00,1,6.56,170,263,1,Y,1,24.4,1.0,11.75,6.1,43.25
2003561,1,2019-03-01 20:34:00,2019-03-01 20:54:00,1,3.11,231,209,2,Y,1,52.0,1.0,0,9.36,62.36
2003562,4,2019-03-01 13:34:00,2019-03-01 13:39:00,1,9.49,45,7,1,Y,2,28.73,0.5,0,0.0,35.55
2003563,1,2019-03-01 17:58:00,2019-03-01 18:34:00,1,3.45,163,68,1,Y,1,29.12,2.5,0,5.82,37.44
2003564,1,2019-03-01 10:57:00,2019-03-01 11:09:00,1,12.42,41,50,2,Y,1,52.0,0.3,0,9.36,61.66
2003565,2,2019-03-01 09:12:00,2019-03-01 09:21:00,4,6.44,209,231,1,Y,1,23.1,2.5,11.75,5.78,43.13
2003566,1,2019-03-01 17:52:00,2019-03-01 18:18:00,2,4.11,36,246,1,Y,1,25.77,2.5,0,5.15,33.42
2003567,3,2019-03-01 23:52:00,2019-03-02 00:25:00,1,14.7,234,246,1,Y,1,55.75,0.3,0,13.94,69.99
2003568,2,2019-03-01 19:15:00,2019-03-01 19:58:00,2,4.95,231,209,1,Y,1,36.38,2.5,0,7.28,46.16
2003569,1,2019-03-01 10:27:00,2019-03-01 11:10:00,1,6.94,237,7,1,Y,2,41.35,0.3,5.76,0.0,56.51
2003570,1,2019-03-01 08:11:00,2019-03-01 08:46:00,1,7.17,152,224,1,Y,1,37.92,0.5,0,6.83,45.25
2003571,1,2019-03-01 06:28:00,2019-03-01 07:01:00,1,7.97,161,166,1,N,1,38.92,0.5,11.75,7.01,58.18
2003572,2,2019-03-01 17:44:00,2019-03-01 17:58:00,4,9.57,50,209,1,N,4,33.42,0.5,11.75,5.01,50.68
2003573,1,2019-03-01 14:44:00,2019-03-01 14:58:00,1,9.04,224,12,1,N,1,32.1,1.0,6.12,0.0,39.22
2003574,2,2019-03-01 12:45:00,2019-03-01 12:52:00,1,12.52,166,261,1,Y,2,37.3,2.5,0,0.0,46.51
2003575,1,2019-03-01 16:57:00,2019-03-01 17:06:00,2,14.94,140,209,1,N,1,44.35,2.5,11.75,8.87,67.47
2003576,4,2019-03-01 06:12:00,2019-03-01 06:56:00,1,2.28,140,127,1,Y,1,30.2,1.0,11.75,6.04,48.99
2003577,2,2019-03-01 11:43:00,2019-03-01 11:53:00,1,3.2,50,75,1,Y,2,15.5,1.0,0,0.0,19.91
